rpid,点赞数量,用户,性别,等级,评论内容,发布时间
143377905904,471,镜王MirrorKing,男,4,第一层：时间是什么形状的？第二层：钟，怀表，腕表第三层：广告,4天前发布
143255325360,299,GSCmax,男,6,卡地亚的设计可能是艺术生的浪漫，而理工生的浪漫是这样的：一块纯净的石英晶体在精确的设计和切割下，震荡频率被锁定在每秒32768次，这样的石英晶体被封装在一个微小的金属罐子中。它被大型机器批量生产，甚至单个的价格只有几毛钱。搭载这个石英晶体的手表在走时精度完全碾压机械手表的前提下，一个却只卖你几十块钱。,5天前发布
143197950496,627,南树荫,保密,5,秒的定义：当铯-133原子位于海平面处于非扰动基态时两个超精细能级间跃迁对应的辐射频率ΔνCs以Hz(即等于s-1)为单位表达时选取固定数值9192631770倍来定义秒。[doge],5天前发布
143204566320,107,Oooo0ohmygosh,保密,5,时间是甲方爸爸的形状[脱单doge],5天前发布
143209235040,193,孤草solitude,保密,3,我看到了我的爱恋我飞到她的身边我捧出给她的礼物那是一小块凝固的时间时间上有美丽的条纹摸起来像浅海的泥一样柔软她把时间涂满全身然后拉起我飞向存在的边缘这是灵态的飞行我们眼中的星星像幽灵星星眼中的我们也像幽灵,5天前发布
143272747024,76,入木三分木三,男,6,这广告的渲染力太强了吧，真的有很多值得学习的东西，从文案表达到艺术表现上感觉真的可以收获很多东西[喜欢][喜欢][喜欢],5天前发布
143196497520,362,冷漠的十一,男,5,嚯！瞧瞧！人这广告做的！,5天前发布
143236138672,45,IGGY_金州大中锋斯蒂芬,男,6,o老师的选题和文案真的是从不令人失望,5天前发布
143194550400,127,雨轩z-,男,5,当然是他的形状 (即答,5天前发布
143194160976,130,竹鼠打不过中署,男,6,看成叶问是什么形状的不会就我一个吧,5天前发布
143648694176,9,蛋蓝_Glubees,保密,3,分分秒秒的存在不是上帝的意图，也不是大自然的产物，而是人类运用自己创造出来的机械和自己对话的结果。——《娱乐至死》；时间和文字一样，是一种隐喻，因此，它的确切形状真正是由人类的思想决定的。[脱单doge],3天前发布
143194905472,40,匿岛_,男,4,爱吃梅菜扣肉的陈相因老师好[脱单doge],5天前发布
143193853792,895,HITCJM,男,5,考研人，现在在摆和疯之间振荡,5天前发布
143297872432,3,拉斯普汀,保密,5,时间是眼镜的形状....,5天前发布
143211928096,11,柳相若晦,保密,5,中国古代通过天色判断的是时辰。时间的间与无间类似，意为没有间息，即连续，持续。但相较于天体来说人类科学家可以推测出它们诞生的时间，却无法推测出时间诞生的时间。显然，作为无终点，甚至对于广袤的宇宙而言，对人类重要的时间也许只是让人类有着一份获取宇宙信息的身份。时间的价值正如世界上如今的各种主义一般，存在于书本，存在于现实。从古至今，似乎对时间的重视越来越足，事实上，越是对身体把握的人，对时间的把握便会越强，但相应的，这样的人对时间的意义却缺少了一定的思考。,5天前发布
143675449728,2,香蕉999,男,4,这个视频由oooooohmygosh发出来，略微有点掉价了,2天前发布
143200702528,34,夕之溪,男,5,虽然手表是在怀表之后发明的，但不知为何我戴不习惯手表，哪怕是最轻便的运动手环都有异物感，我现在还是更喜欢怀表,5天前发布
