rpid,点赞数量,用户,性别,等级,评论内容,发布时间
143450365600,14,昵称违规请处理,保密,4,甲方：[热词系列_妙啊][脱单doge],4天前发布
143497240240,3,火前留Ming,男,4,盗梦空间是吧[doge],4天前发布
143596451696,2,镜王MirrorKing,男,4,哇趣我居然以这种方式火了[doge],3天前发布
143982831232,0,Butter_Block,保密,5,o叔的广告都是黑底封面呀（⌒▽⌒）,22小时前发布
143403972880,4,bili_350656072,保密,5,很酷,4天前发布
143877505936,0,夜神刀真香,男,5,我觉得很酷,1天前发布
144099629456,0,蓝白相间XD,保密,6,不觉得这很酷吗？作为一名理工男我觉得这太酷了，很符合我对未来生活的想象，科技并带着趣味,4小时前发布
143207012896,13,Leavecity,保密,5,秒是时间的单位，定义了秒只是定义了一个单位，但没有定义时间本身,5天前发布
143231503168,31,蟋蟀果果,男,5, 秒是时间的尺度，是国际单位制里时间的单位，也是国际单位制里七个基本单位之一。同时时间是有方向而单向的，其他矢量单位可以出现负数数量，而负数数量时间是没有意义的。同样根据热力学第二定律，时间还可以用熵来衡量,5天前发布
143240750176,1,桂木ケイマン,保密,6,时间真实存在的典型的实验就是时间膨胀测试,5天前发布
143246755408,74,乐土魔法打字机,保密,5,谢谢你，平凡而伟大的陌生人，我的灵魂仿佛得到了神圣的洗涤，虔诚的信徒为您高歌，即使宇宙覆灭，我也不会忘记您今天对我的教诲，如果不是你，我一辈子都被蒙在鼓里。,5天前发布
143302999936,0,O是雷小姆吖O,男,5,细说,5天前发布
143323540224,7,刚刚入驻B站,男,3,补充yee点：1960年国际计量大会决定采用以地球公转的运动为基础的历书时秒作为时间单位，即将1900年初附近，太阳的几何平黄经为279°41&#39;48&#34;.04的瞬间作为1900年1月O日12时整，从该时刻起算的回归年的1/31556925.9747作为一秒。按此定义复现秒的准确度提高到十亿分之一秒。1967年，国际计量大会决定采用原子秒定义取代历书时秒定义。即将铯-133原子基态的两个超精细结构能级之间跃迁相对应辐射周期的9192631770倍所持续的时间定义为一秒【1】【2】。按此定义复现秒的准确度已优于十万亿分之一秒。1960年以前，CIPM（国际计量大会）以地球自转为基础，定义以平均太阳日之86400分之一作为秒定义。即1 Second = 1/86400 Mean Solar day其稳定度在10-8左右。1960~1967年CIPM改以地球公转为基础，定义西元1900年为平均太阳年。秒定义更改为：一秒为平均太阳年之31556925.9747分之一。1 Sec = 1/31556925.9747 Solar Year at 1900稳定度约为10-9。,5天前发布
143330574720,1,Ax1LeZed,男,6,看懵了,5天前发布
143334881104,5,向量不想被转置,男,4,牛顿：时间是线形的爱因斯坦：时间是圆锥形的圈量子引力论：时间的形状是任意的，宇宙各处没有一个统一的时间,5天前发布
143400302608,0,megaloboxjoe,保密,6,时间就和万有引力一样，根本不存在，只是方便人类描述三维空间,4天前发布
143509891856,0,路鸣泽-小魔鬼,保密,5,那么问题来了，秒为什么要如此来定义呢？为什么固定是这个数字呢？,3天前发布
143444317488,3,a站驻b站特派员,保密,6,完美解毒，啊，手滑了，解读~,4天前发布
143253211056,9,Tessergon,保密,4,捕捉歌者[doge],5天前发布
143253321104,3,潭aaaariel,女,5,歌者,5天前发布
143341746112,1,萌新分也,男,6,哪来的歌者[脱单doge],5天前发布
143352834768,2,king-W-D-yan_闫王,男,4,你就是远古歌者，歌者的偶像？[脱单doge],4天前发布
143450365600,14,昵称违规请处理,保密,4,甲方：[热词系列_妙啊][脱单doge],4天前发布
143497240240,3,火前留Ming,男,4,盗梦空间是吧[doge],4天前发布
143596451696,2,镜王MirrorKing,男,4,哇趣我居然以这种方式火了[doge],3天前发布
143982831232,0,Butter_Block,保密,5,o叔的广告都是黑底封面呀（⌒▽⌒）,22小时前发布
143403972880,4,bili_350656072,保密,5,很酷,4天前发布
143877505936,0,夜神刀真香,男,5,我觉得很酷,1天前发布
144099629456,0,蓝白相间XD,保密,6,不觉得这很酷吗？作为一名理工男我觉得这太酷了，很符合我对未来生活的想象，科技并带着趣味,4小时前发布
143207012896,13,Leavecity,保密,5,秒是时间的单位，定义了秒只是定义了一个单位，但没有定义时间本身,5天前发布
143231503168,31,蟋蟀果果,男,5, 秒是时间的尺度，是国际单位制里时间的单位，也是国际单位制里七个基本单位之一。同时时间是有方向而单向的，其他矢量单位可以出现负数数量，而负数数量时间是没有意义的。同样根据热力学第二定律，时间还可以用熵来衡量,5天前发布
143240750176,1,桂木ケイマン,保密,6,时间真实存在的典型的实验就是时间膨胀测试,5天前发布
143246755408,74,乐土魔法打字机,保密,5,谢谢你，平凡而伟大的陌生人，我的灵魂仿佛得到了神圣的洗涤，虔诚的信徒为您高歌，即使宇宙覆灭，我也不会忘记您今天对我的教诲，如果不是你，我一辈子都被蒙在鼓里。,5天前发布
143302999936,0,O是雷小姆吖O,男,5,细说,5天前发布
143323540224,7,刚刚入驻B站,男,3,补充yee点：1960年国际计量大会决定采用以地球公转的运动为基础的历书时秒作为时间单位，即将1900年初附近，太阳的几何平黄经为279°41&#39;48&#34;.04的瞬间作为1900年1月O日12时整，从该时刻起算的回归年的1/31556925.9747作为一秒。按此定义复现秒的准确度提高到十亿分之一秒。1967年，国际计量大会决定采用原子秒定义取代历书时秒定义。即将铯-133原子基态的两个超精细结构能级之间跃迁相对应辐射周期的9192631770倍所持续的时间定义为一秒【1】【2】。按此定义复现秒的准确度已优于十万亿分之一秒。1960年以前，CIPM（国际计量大会）以地球自转为基础，定义以平均太阳日之86400分之一作为秒定义。即1 Second = 1/86400 Mean Solar day其稳定度在10-8左右。1960~1967年CIPM改以地球公转为基础，定义西元1900年为平均太阳年。秒定义更改为：一秒为平均太阳年之31556925.9747分之一。1 Sec = 1/31556925.9747 Solar Year at 1900稳定度约为10-9。,5天前发布
143330574720,1,Ax1LeZed,男,6,看懵了,5天前发布
143334881104,5,向量不想被转置,男,4,牛顿：时间是线形的爱因斯坦：时间是圆锥形的圈量子引力论：时间的形状是任意的，宇宙各处没有一个统一的时间,5天前发布
143400302608,0,megaloboxjoe,保密,6,时间就和万有引力一样，根本不存在，只是方便人类描述三维空间,4天前发布
143509891856,0,路鸣泽-小魔鬼,保密,5,那么问题来了，秒为什么要如此来定义呢？为什么固定是这个数字呢？,3天前发布
143253211056,9,Tessergon,保密,4,捕捉歌者[doge],5天前发布
143253321104,3,潭aaaariel,女,5,歌者,5天前发布
143341746112,1,萌新分也,男,6,哪来的歌者[脱单doge],5天前发布
143352834768,2,king-W-D-yan_闫王,男,4,你就是远古歌者，歌者的偶像？[脱单doge],4天前发布
