rpid,点赞数量,用户,性别,等级,评论内容,发布时间
139220456672,457,s1s11,男,6,//www.bilibili.com/h5/note-app/view?cvid=20059809&pagefrom=comment&richtext=true,30天前发布
138952924656,2934,文剑丶水又二一,男,5,我觉得高斯的贡献如果能被早点发现，，或许可以提前几年用到FFT，但绝不是几十年甚至上百年。毕竟FFT是计算机存在前提下的产物，高斯没觉得这个算法厉害大概只是觉得这个小技巧提高了一点点计算速度。而真正体现优势的N很大的情况，有没有FFT都不是人算的。有点50步和百步的感觉。那个时代的数学家大概对暴力计算的兴趣是不大的。,32天前发布
138942350144,1502,星海冰糖,男,6,傅里叶变换简直是物理界的神，可惜有的积分还是会发散，也就是混沌。。。,32天前发布
138995985600,1085,必木鱼水,保密,5,这玩意儿属于是看一次懂一次，下次还不懂[喜极而泣][捂脸],31天前发布
139195249936,820,SEMI_CONDUCT,男,5,所以说人类是有极限的啊，一个脑袋学一辈子也学不到人类精华的百万分之一，光一个大佬的全集就够啃20年，当然会遗漏大量的东西，很多结论和轮子明明早就造过八百遍了，后人结果根本不知道有没有相关发现，事实上我们能够进一步发展已经可以说很幸运了，每个人都带着自己残缺不全的知识企图拓展边界,30天前发布
138958315232,632,湛蓝色的彼岸花,保密,6,傅立叶变换简直是在各大理工科中都非常有存在感。在数学方面，傅立叶变换延伸出了相当多分析学的学问，从偏向微分方程的方面到更形式化的方面都有涉及，而且可以和群论中的表示理论有深刻关联。物理方面，有一大把方程的求解或者线性近似都是用傅立叶来处理，而且在量子理论中几乎是无处不在，最经典且常见的用法是作为幺正变换联系了位矢表象和动量表象，以及在描述对称性的群上经常用（推广的）傅立叶分析，这就和上面说的群表示有关联了（比如球谐函数&3维旋转群）。工科方面不用说了，信号处理等领域大把大把的，生活中无处不在,32天前发布
139337475360,840,长梦悠然无期,保密,5,坏了，我搜都没搜就在主页看见了想找的视频,29天前发布
138940276496,596,wxx9248,男,6,傅立叶 永远滴神,32天前发布
138940287104,287,顺其自然2319,男,5,oier集合[tv_doge],32天前发布
139113607632,303,火套火杯子,保密,6,其实也不用为高斯没有发布成果而感到可惜。其实这也恰恰证明了，没有什么人是不可代替的。不要误会，我们当然承认伟人在各种领域的贡献，并不是认为他们不重要的意思，也并没有想要掩盖他们的成果的重要性。只是说，就算爱因斯坦没有提出相对论，也会有其他人提出来。人类的进步并不会因为失去某个个体，而导致停滞不前。,31天前发布
139081290752,134,云上端,男,5,(,31天前发布
139018989424,120,skiuniverse,保密,6,看了这期视频，理解了FFT的优化核心在于找到原本算法中的重复计算部分，通过在首次计算这些部分时记住结果，并在后续使用时直接调用记住的结果，从而避免重复计算。,31天前发布
139084311024,226,Qooll-,保密,6,评论区大伙都是理工科的，但应该没人能想到fft现在已经用在金融资产定价领域了吧[藏狐] 主页动态里刚好有个例子。用fft可以降低O（n2）复杂度的特性，大幅度简化underlying asset的随机过程或者特征方程的计算过程，算是这几年用的比较多的定价算法之一了,31天前发布
139090777472,146,hdi河笛,男,6,傅立叶变换的原理是这样的：对于一个n维空间 可以选取n个两两正交的单位向量 任意一个向量自然都可以被分解为这些向量的线性组合不妨假设这个空间是3维的 三个单位向量分别是i， j， k 再引入中学时学过的向量数量积运算（也称向量内积） 于是有i*i=j*j=k*k=1， i*j=j*k=k*i=0于是由分配律 对于任意一个向量v=ai+bj+ck 有v*i=a， v*j=b， v*k=c故而 v=(v*i)i+(v*j)j+(v*k)k 这便是向量正交分解的原理而在函数当中 可以定义一组函数e.n=e^2πinx以及满足线性性的内积运算<f， g>=从0到1的对于函数【f*(g的复共轭)】的积分 可以推出对于任意周期为1的周期函数 都可以表示为一组e.n函数的线性组合 又容易推出<e.n， e.n>=1， <e.n， e.m>=0， 其中n≠m于是对于周期为1的周期函数f=ae.1+be.2+ce.3... 有<f， e.1>=a， <f， e.2>=b， <f， e.3>=c...于是就有表达式f=<f， e.1>*e.1+<f， e.2>*e.2+<f， e.3>*e.3...这个表达式进而可以被推广到任意周期的函数 取这个周期到正无穷的极限就得到了任意函数的傅立叶级数以上就是傅立叶变换与向量正交分解的同构关系了,31天前发布
138943871152,153,点赞可好,男,6,快速傅立叶变换！可以把次数运算量从N^2降到N^logN级别的好东西，就是蝶形运算的图不太好画,32天前发布
138983673504,161,强力,保密,6,[笑哭]高斯：我当初没发表是因为没想到你们这群菜b这么久都没想明白该怎么弄,32天前发布
138946939312,105,dovisutu,保密,5,Gauss因为太过出名痛失Cooley-Tukey的命名权（[doge]）,32天前发布
141573330432,138,大李子PlumLee,保密,5,多少人在意内容，只在意建政说真的不喜欢长视频可以退出去看看其他的,14天前发布
139186647440,15,后现代骚人,保密,5,@二维傅里叶变换 来学习,30天前发布
139098574736,6,哪里不亮点哪里,保密,4,欧拉比高斯早出生六七十年，欧拉是数学英雄，高斯是数学王子，可以说欧拉算是成就了高斯吧。他们差不多像李白杜甫每个人都是一个时代由于高斯的性格问题，你看到许多公式与算法其实是他压箱底的东西[笑哭,31天前发布
