rpid,点赞数量,用户,性别,等级,评论内容,发布时间
142961633936,344,夜夜-Official,女,6,省流：竖式乘法也是一种卷积那么现在就开始尝试把这种利用快速傅里叶变换计算卷积的方法教给小学1年级的小朋友，让他们在速算比赛中所向披靡吧！[大笑],5天前发布
143013300480,204,like小玉米,男,5,随处可见intimidating:唬人we take the time to really un...https://www.bilibili.com/h5/note-app/view?cvid=20672670&pagefrom=comment&richtext=true,5天前发布
142893034896,771,Live_Free_or_Die,女,5,我怀疑3b1b在跟踪我们这一届学生在学什么[脱单doge],5天前发布
142892139152,978,一线天369,保密,6,30,5天前发布
142928087328,314,焦糖布丁大橘狼寻生,男,6,各位辛苦了，今天的课后作业，请大家运用学到的FFT计算卷积的技巧，计算以下大数乘法：32×15=？[doge],5天前发布
142902818816,295,敏捷的外星赵江,保密,4,FFT=Fast Fast TLE[doge],5天前发布
142897248160,236,樱州,保密,4,这次翻译花了半个月，奖励翻译一颗布洛芬[吃瓜],5天前发布
142982058624,78,罗兹,男,6,Sobel 算子了解一下[奸笑],5天前发布
142898986032,155,H0SHizora,男,6,数学方法时恐惧卷积，信号与系统时理解卷积，DSP时爱死卷积[藏狐],5天前发布
142914212912,53,北白川餡子_official,女,6,我踏马直接……拉普拉斯变换，时域卷积转化为复频域相乘，然后拉普拉斯逆变换[傲娇]f(t)*h(t) → F(s)•H(s)=Y(s) → y(t),5天前发布
142897554208,105,菰菱乡人,保密,6,以前想到一个比喻来形象地认识信号与系统中的卷积。假如人的消化系统是一个线性时不变系统，也就是说怎么吃都装得下、能消化。然后吃一个馒头以后每个时刻未消化的馒头量可以构成一个消化序列10， 9， 7， 4， 0。然后每个时刻吃入馒头的数量也可以构成一个馒头序列1， 3， 2， 5， 2。那么消化序列就是描述系统的，馒头序列是输入，未消化的馒头是输出。卷积就好比人在吃馒头。于是把馒头序列倒过来从头开始吃：（2，5，2，3，1）（嘴）（10，9，7，4，0），每过一个时刻馒头序列往前走一步，与对应位置的消化序列相乘。诶，要是能画个动图出来就好了。,5天前发布
142890543040,234,ATSH导游,女,6,信号的朋友们集合,5天前发布
