rpid,点赞数量,用户,性别,等级,评论内容,发布时间
143004526048,15,Jatrine,女,6,什么量子波动速乘法,5天前发布
143108205456,6,captainkong,男,6,意义不大，无论是对于手算还是计算机计算。FFT涉及到复数的计算，复数在计算机中的计算时间是大于整形和普通浮点数的，这样只会得不偿失。至于手算，如果长度是2的正次方数还可以说画蝶形计算，如果不是这FFT的算法一下子就变得异常复杂。,4天前发布
143118201248,64,秋意子,男,6,原来这些东西真是小学二年级就学了，毕导他真的。,4天前发布
143269172000,1,蔡德仁,保密,5,10000位以上就快了。,3天前发布
143328769216,0,METEO陨星,保密,5,牛刀，不至于杀鸡,3天前发布
143361374176,10,kgb00018,男,6,这孩子，或许能抓去当显卡,2天前发布
143426276320,0,划零醇的Sunlight,男,5,那用数论变换代替FFT就行了，这样变换后也全是整数，且卷积定理依然成立[doge],2天前发布
143511424064,0,C8N16O32,保密,6,数论变换不太行，整数取模比浮点乘法还要慢很多，压位也挺折腾的，fft友好一些,1天前发布
143512056256,1,C8N16O32,保密,6,fft（以及数论变换）可以级联执行，比如1048576点可以拆成2轮1024个1024点fft。同一轮的1024个fft互不干扰，嫌1024点太大了可以再拆，这是非常有意义的优点,1天前发布
143716836224,0,captainkong,男,6,我是学工科的，还真没听过数论变换。长见识了,16小时前发布
143051789280,17,Misaka_Makoto,女,5,你是懂笔记的[doge],4天前发布
143087737808,14,_Tc_43,保密,5,好家伙，学起英语了，这就是大佬的余裕吗（惊）,4天前发布
143248032096,0,NetaP495L,保密,6,这啥玩意，翻译一堆对不上的,3天前发布
143275312304,5,CrossMywhy,男,6, 翻译没啥问题，是英语更本土化的表达,3天前发布
143519189216,1,自然-选择,保密,6,都翻译上了 至少保证了信达俗（通俗）[脱单doge],1天前发布
143802763360,0,自闭网友,保密,5,你甚至能在英语课上学到数学,15分钟前发布
142897616208,2,连躺三天,保密,6,我刚想了解一下来着[笑哭],5天前发布
142900180272,33,1024mg安眠药,保密,4,up一定是03年出生的[脱单doge],5天前发布
