rpid,点赞数量,用户,性别,等级,评论内容,发布时间
2065743180,2091,Damian_Bond,保密,5,数学系的乐趣就是——永远惊叹于前人想出自己不可能想出的方法来看看自己到底有多菜[吃瓜],1156天前发布
2066099812,983,克劳恩啤酒,男,6,联想到【波与粒的境界】立刻猜到了旋臂产生的原因所以说玩游戏还能帮助理解数学（,1156天前发布
2065996725,1117,七夜殛月,保密,6,很抱歉，我在这里借题发挥，提起一些无关痛痒的话题关于在很多数学科普视屏中评论与弹幕可能有这样一种风气（当然，其实3B1B这边这些东西都是几乎没有的）——当你谈论一个高中生能理解的数学时，他们就提起高考。当你谈到一个高中生不能理解的问题时，他们就说高数。然而，对于真正大研习数学的学生而言，高考只是求学路上的敲门砖。而高数是整个大学里最简单的数学课程，甚至于实变泛函高概都是一样，对于那些留在象牙塔里的人来说，学过十遍的他们也一样会说“it is basic.”当然，人都是成长的生物，完成高考也好，结了数分课程也好，都是一件那个阶段中很有成就感的事情，所以让一些人津津乐道，这是无可厚非的。和这个视屏一样，当解决了一个小问题，学会了一种学数的技巧，或者找到一种新的数学观念，这往往并非说明成就了什么而只是刚刚学会用火。作者能在有限的时间里告诉你的是这背后还能有多少你没有发现的广阔新世界。应试的教学会让人产生一种——我结课了，考好了我就冲过终点的错觉——但这根本上就是个误导。对于真正留在数学里的人都会明白，这根本只是刚刚穿上跑鞋在起跑线上摆正了姿势，不至于你让穿凉拖甚至用手去参加数学长跑。数学科普数作者并不会要求人人都懂数学，但至少也不会希望观众对数学仍然抱着一个很局外人的“肤浅”心态，这种精神不也是数学科普视频的一部分么？另外，math exchange是个很好地方，对于任何一个学习者而言，我推荐有事没事都可以上去逛逛。,1156天前发布
2065687140,592,笨蛋猪头倒栽葱H,保密,6,呜哇我不要学什么鬼数论哇[大哭]等等，呜哇这好好玩我要学哇[大笑],1156天前发布
2116932295,704,野毛虫,保密,5,小学发现浮力定律并想到大气浮力……该死，阿基米德早发现了小学萌生三角函数表思路……该死，前人早发现了初中自己独立创建极坐标……该死，前人又发现了初三从数量现象推出平方差公式……该死，初二学过的高中因为打赌说所有物理结论都可以公式化，通宵自己独立创建柱坐标系并将磁通量与感应电场公式化(前半夜因为走弯路顺便创建了空间球坐标系)从初中开始感兴趣函数的曲线长度，高二时摸到了积分的门槛……🤔从小学第一次发现凹面镜成虚像到大学完整总结光场显示技术……………………[灵魂出窍]小时候以为世界等着我去探索，长大了才发现，几千块的工资就可以把我锁在出租屋，这很真实,1135天前发布
2065695295,436,喷出一口老血,男,6,提示：π的多少整数倍的值最接近另一个整数?这便是这道题的答案,1156天前发布
2065770512,279,JackCommandBlock,男,5,22/7、355/113分别为祖冲之对圆周率的约率和密率！,1156天前发布
2065724699,303,蓝翔守夜人,男,6,手里的微积分，线性代数，概率论与数理统计一下子就不难了呢[囧][囧],1156天前发布
2066463297,168,南墙橘猫,保密,6,中国的教育缺乏启发式教学，课本上大多数只是摆出了公式和定义，但是至于这些公式定义是如何来的，有什么历史渊源，和前人是如何想出来的。提到这些的确实少之又少甚至只字未提。这就是为什么大多数人都觉得数学枯燥的原因。,1156天前发布
2065956654,205,账号已注销,保密,0,最后一段话说得太有道理了。我记得我第一次看的3b1b的视频是求球体内接四面体过球心的概率，我当时连连拍案叫绝，因为我自己以前就想过在圆那部分的思路，而且那两种方法都是自己想到过的，我还总结了一些规律，譬如0维图形（点）过中心的几率就是100%，1维（线）过中心就是50%，二维是25%，我就想知道3维是不是1/8，结果居然在b站上看到了自己的疑问，天啊当时真的是“一见如故”，一见如故啊。,1156天前发布
