rpid,点赞数量,用户,性别,等级,评论内容,发布时间
2065873887,82,硫酸钡Barite,男,6,计算机系并感,1156天前发布
2065919570,2,hachi11111,男,5,@硫酸钡Barite 不如更一更视频？[doge],1156天前发布
2065966837,4,王翼弃王,保密,6,竟然在这里找到了硫酸钡！,1156天前发布
2065962278,579,账号已注销,保密,0,那是挑战整个人类历史，输了不丢人不算菜，赢了的全都属于不可描述级别的恐怖[画风突变],1156天前发布
2066025910,5,大白菜de桶,男,5,[嫌弃]硫酸球,1156天前发布
2066168162,125,把孤单当晚餐,男,6,学计算机的也是，VB上也有非常多让人惊叹的程序，90年代的汇编代码放在今天依然让人不由得佩服前人的智慧和感叹自己的诸多不足。,1156天前发布
2066186735,26,嫖嫖乐斯密达,保密,6,我猜你说的vb上的程序指的是算法 比如数据结构中的最短路最小生成树之类的😂,1156天前发布
2066272160,167,xiaoyitju,保密,6,因为你今天能看到的前人代码都是大佬的，垃圾写的代码早就没了。,1156天前发布
2066573025,8,不想加班的阿蓝,男,6,你说的怎么跟ntr差不多的？[滑稽],1156天前发布
2066595378,20,芽亜里の双马尾,保密,6,这都算的话那什么学科都能有了。计算机才多久的历史，而且你还说的只是编程这种简单的事。。感觉根本不能与数学的那种“惊叹”比较，不能用上“也”,1156天前发布
2066520088,9,充值为会员可查看此名,男,6,有理有据，令人信服[支持],1156天前发布
2066592660,43,495円,保密,6,之前看有up自己调角速度生成波与粒的境界，在视频把视角拉高的时候就有点相似的感觉了，不过倒是没那么快意识到w（顺便真难扭，stg苦手）,1156天前发布
2067185910,79,可爱小粉兔,男,6,车万数学家,1156天前发布
2067473894,6,冷凝水_H2O,男,6,真实,1155天前发布
2219769055,116,C-wait,保密,5,于是你就出了下全避？,1094天前发布
2241043162,163,最初的zoker,男,6,知道旋臂产生的原因立刻就下全避12秒威严所以说学习数学还有助于打游戏（废话,1086天前发布
2259904931,8,是谁动了咱的呆毛,保密,5,喂，你这让威严酱的面子往哪里摆？,1079天前发布
2306348363,40,尘土中的蛇,保密,5,AV81120517,1065天前发布
2306350638,9,尘土中的蛇,保密,5,上面那位提到的全避12s视频。,1065天前发布
2420675082,23,太阳反射镜,男,6,于是你就下避了全避了十二秒？人？,1038天前发布
2066094020,0,天澈水蓝,男,5,math exchange怎么进入,1156天前发布
2066115161,32,工农阶级终将胜利,保密,6,毕竟数学系可没有高等数学这本书。[灵魂出窍],1156天前发布
2066109199,3,七夜殛月,保密,6,至顶里其实就有，math.stackexchange.com,1156天前发布
2066291563,61,青月晓,女,6,我觉得一种很不好的风气就是弹幕全在刷妙啊妙啊的，这类人通常根本没看懂,1156天前发布
2066347695,2,花火Official,保密,6,别说了我高考难度的数学都不会,1156天前发布
2066593631,14,Administrator__,男,6,这个说法就不严谨了,1156天前发布
2066646194,6,我无敌敌敌,保密,6,弹幕低龄化而已 关闭了就好,1156天前发布
2066669084,2,SevereMental,男,5,往评论区翻翻做个统计就知道，我猜这类视频翻不到50层就能把低智类型统计完了。,1156天前发布
2066692779,8,星星哒邻居,保密,6,也许看懂了是吧……虽然我也觉得没看懂的可能性大，但是你不能没有调查就这么说,1156天前发布
2066747196,0,小鸟游喵呜,保密,6,高等数学是什么弟弟学科,1156天前发布
2065732566,1,呜哇wuwaaaaa,保密,6,(｀・ω・´)？,1156天前发布
2065794991,0,Chemystery,保密,5,哈哈哈哈哈,1156天前发布
2065827046,115,渴望蓝天彡,保密,5,然后你就入坑了，从此洗头再也不用洗发水,1156天前发布
2065971003,5,账号已注销,保密,0,密码学向你敞开了大门（☠️）,1156天前发布
2066114310,2,鸡蛋卷丁,保密,5,朗兰兹纲领向你敞开了大门,1156天前发布
2066193146,37,荣光归于安格鲁,保密,6,从此洗头不花钱,1156天前发布
2066771693,50,附魔师Ivan,男,6,日落头发三千根，不辞长做物理人,1156天前发布
2067379028,2,普罗科夫斯基,保密,5,从来都是这两句话反过来说😂😂😂,1156天前发布
2071023339,0,LabMemKarl,保密,5,ppppppppp,1154天前发布
2138339905,0,风鹧,保密,6,真的掉头发。,1126天前发布
