rpid,点赞数量,用户,性别,等级,评论内容,发布时间
137694182496,41,浩男桑233,男,5,动态来的，找到你了[tv_偷笑],40天前发布
137695255568,25,LyNewBe,保密,4,捉Tim[脱单doge],40天前发布
137695546400,2,春田牛牛,女,5,本程序猿带上三连来了[脱单doge],40天前发布
137697676144,5,27086704,男,6,活捉 TIM你就别反抗了 反抗 反抗是没有用的[滑稽],40天前发布
137701018064,2,正经的政宇,保密,4,来了啊,40天前发布
137701806272,2,GroHub,保密,3,捉Tim[脱单doge],40天前发布
137704860432,1,MOFANG影像馆,男,5,感谢分享[脱单doge],40天前发布
137704979808,6,蔡发键,男,5,用得意黑做一期节目,40天前发布
137704987376,3,哼-我莫得感情,保密,5,抓到飓风，抽个啥给我呗,40天前发布
137705750832,5,萌叉,男,5,捉！！！！！[热词系列_知识增加],40天前发布
137685968752,301,oooooohmygosh,男,6,几点吃鸡,40天前发布
137686849040,1,I_EEE,男,6,捉！,40天前发布
137689347136,4,高堂思远,男,6,几点吃鸡,40天前发布
137692079456,1,TAO涛46,男,5,几点吃鸡,40天前发布
137692497744,1,菜花熊,保密,4,几点吃鸡,40天前发布
137693227968,2,鼎铭鸽,男,6,8点！！！[脱单doge],40天前发布
137693563168,71,金乐宝,保密,4,纯小白问一下，怎么用,40天前发布
137693811536,1,林Fay,保密,6,几点吃鸡,40天前发布
137693815872,38,ABCwewe,保密,6,建议百度,40天前发布
137693883296,2,TiramiSu丶流光,男,6,几点吃鸡,40天前发布
137669113744,1,失败中的victor,男,6,捕捉,40天前发布
137669366176,48,TONYSTARK小石见子,保密,5,这不联动一下,40天前发布
137669373408,43,北山白野,保密,5,捉钢铁侠,40天前发布
137669600592,1,星维,保密,6,捕捉,40天前发布
137670105104,0,一舸桂殿秋,保密,5,[热词系列_大师球],40天前发布
137670774976,1,成为星辰大海,男,5,大佬！,40天前发布
137671540304,0,某屑魔女伊蕾娜,保密,4,捉,40天前发布
137673780256,0,浮梁贾人,男,5,我爱你钢铁侠。[给心心],40天前发布
137678262096,0,云牧青哔哩哩,男,6,捕捉！[热词系列_大师球],40天前发布
137678546864,0,星河万里如何ZA,保密,5,到我的碗里来,40天前发布
137670660256,4,倾听飞雪,女,6,[无悔华夏_点赞],40天前发布
137670887312,338,隼人不吉利,男,5,哪座庙的小和尚，待我前去检查[doge],40天前发布
137672817024,210,痴汉闯天下,保密,5,[doge]那我去教堂贴,40天前发布
137673843200,106,铁山靠斗只因,保密,5,那我去地狱贴[doge],40天前发布
137675156928,20,DikeyBear,男,5,假粉，字母前后不加空格 [doge],40天前发布
137675605072,29,爱吃樱桃的花京院,保密,6,兄弟，你这贴完咋回来啊[保卫萝卜_问号],40天前发布
137676217712,4,Ark-做梦大王-赶潮,男,6,?,40天前发布
137676720080,3,摆个寄薄,男,5,我去阎王爷那绕一圈,40天前发布
137676858736,13,神の忠实信徒,保密,3, 撒旦背上纹你[doge][doge][doge],40天前发布
137676938816,2,凌霄羽楠,男,5,不至于，不至于[脱单doge],40天前发布
137687011552,1,燕仔视觉,男,5,完全免费吗[脱单doge],40天前发布
137687532928,3,atelierAnchor锚坞,保密,2,开源字体[胜利],40天前发布
137689758384,0,_Morphling,男,6,太厉害啦,40天前发布
137693326256,152,山深衫湿,男,6,会考虑上架各大手机主题商店吗？,40天前发布
137693556928,0,小车游牧,保密,6,感谢大佬们！,40天前发布
137693978784,4,森林里的电工,保密,5,考虑一下设计成编程代码字体吗[脱单doge],40天前发布
137694500688,1,Losttail,保密,5, 顶你[脱单doge][脱单doge][脱单doge],40天前发布
137695037152,8,波尔克-聂_BolkNiel,保密,5,好沉，捞一捞[tv_doge],40天前发布
137697886416,28,HSSadBoy,男,4,大部分手机都有特殊的APP可以直接安装使用,40天前发布
137698445104,2,洢涵hhh,女,5,怎么安装啊，弄了半天不会弄[笑哭](ﾟoﾟ;,40天前发布
137667936848,11,庄子HD,男,6,太谢谢啦,40天前发布
137669230912,31,泽西奇zaesky,男,6,期待庄子的视频用上[鸡腿],40天前发布
137669808400,1,SongSandong,男,6, 庄子也来啦[doge],40天前发布
137670063056,18,椰果菠萝奶盖,女,6,啊啊啊我这周就用起来,40天前发布
137692392192,0,界下Z,保密,6,下个视频我就要用起来,40天前发布
137733113472,0,玄亦昊,保密,5,庄子[热词系列_好耶],40天前发布
137735730608,8,阿尔文Luka-Alwyn,保密,4,[脱单doge],40天前发布
137741363232,0,好害怕阿,保密,6,语气像机翻,40天前发布
142057068240,0,AlisonYu柃,女,3,已经传染全B站力,10天前发布
137667427136,218,中医界张三,保密,6,这是众筹名字时候呼声最高的,40天前发布
137668245840,40,ココロさん,保密,4,但是看到了，只是没想到会在视频里出现[喜极而泣],40天前发布
137668115168,2,ココロさん,保密,4,当时，打错字了,40天前发布
137668360880,9,华伪,保密,6,又发炎了是不,40天前发布
137739507568,45,可可的哥哥,男,5,应该做一款Windows下怎么缩放都清晰显示的字体，这种能够自由缩放的字体就用海绵来命名吧,40天前发布
137875986624,12,岸拾只春绿,男,6, 有一说一，有 hinting 的字体（比如微软自带的微软雅黑）按标准【正确】渲染的话是【永远】不会模糊的。而通常模糊的原因是应用程序未对缩放（HiDPI）作正确处理。不过有不少字体厨对 hinting 意见颇大（虽然它是在一定条件下的特殊方案，但它意外地影响到了不该影响的部分）。,39天前发布
137965059520,0,无情的冷血杀手,男,5,扁桃体不是每个人都有[doge],38天前发布
140171745024,1,请出示登机牌,保密,5,那么就叫海绵体吧[doge],23天前发布
