rpid,点赞数量,用户,性别,等级,评论内容,发布时间
140816951744,2127,深秋睡大觉,女,6,以为是考研休息区，结果是我的专业课信号与系统[笑哭],18天前发布
141082266304,407,愿以风息,男,4,打个比方，想象一个大圆包着一个小圆，小圆会慢慢变大，题目要求求整个图形的面积，当小圆面积小于大圆时，那么总面积一定为大圆的面积，当小圆比大圆大出一点点的时候，总面积就是大圆的面积加上小圆超出的一点点面积，乘个2cosx其实就像是让这个小圆初始就小一些，需要更久才会比大圆要大，这只是便于理解，视频里是变小,16天前发布
140838329696,772,小渊xyz,保密,6,3b1b的视频有一种神奇的魔力，当你看到开头之后，就会迫不及待地说：快告诉我为什么━━━∑(ﾟ□ﾟ*川━hmm，所以这一期是...为什么∫一大堆东西<π？回答：嗯，因为1/3+1/5+1/7+1/9+1/11+1/13+1/15>1,18天前发布
140813092240,1130,富理叶,保密,4,00，3b1b在新视频中说要出一系列专门讲卷积的视频，距今已43min，警钟敲响，望周知！[doge],18天前发布
140827459664,236,人制剑则无敌,男,5,像极了火鸡在感恩节之前总结的规律,18天前发布
140808858304,428,dovisutu,保密,5,“你这规律太假了”[doge]很著名（某种意义上）的用来反对乱找规律的例子。,18天前发布
140855861328,86,戈德里克越野车,保密,5,好，7分半的时候我开窍了。。。原函数是sinx/x，频域是门函数，原函数乘乘乘，频域就是几个门函数卷卷卷，频域为偶函数，原函数求积分相当于去掉周期成分，所以频域把原点卷到比π小的时候，原函数积分就变了…,18天前发布
140826349792,239,Cc虫虫虫,保密,4,补充一下sinx/x的算法，几个思路以供参考吧方法一：欧拉公式：e^(ix)=cosx+isinx，转变成e^ix/x的形式（“复化”，这个应该算通法而不是一种技巧）方法二：数分的一种技巧，求sin(kx)/x的积分，然后对k求导方法三：还是运用复变函数的技巧，留数定理方法四：Fourier变换/L.变换,18天前发布
143373395776,4,十四十十四,保密,4,我脑子里第一个想法就是累加到十五分之一时超过了一,1天前发布
140835563488,133,文豪丶丶,男,6,牛，非常佩服这种从特殊到一般的能力，需要极强的概念抽象和推理能力；学过傅里叶变换和卷积，但是完全不理解，只会做一些简单的、同类型的题目，稍微变化一些 都不会做。,18天前发布
141517242640,15,KhVeMx,男,5,感叹，只学过信号与系统只能称之为知识，而将知识的性质熟悉并跳跃式地连接起来才是人类宝贵的能力。,13天前发布
140850072608,23,两口大橘子,保密,4,👍👍🌹🌹学无止境，我们这些学生也学着上噼里啪啦👍👍琢磨琢磨成人们喜欢看什么样的内容😊😊现在看来我就放心了，噼里啪啦风气很好，全都是爱学习的好up，很有学术氛围，帮助我们父母茁壮成长💪💪🤝🤝成年人将来一定能成为祖国的栋梁🌹🌹[妙啊],18天前发布
140843510208,74,ChaosRobo,保密,6,我超，我初中的时候用FFT算大整数乘法只能背板子，下个视频3b1b居然正好准备讲，至福！[Cat_heart],18天前发布
140846175808,58,_火雨_,保密,5,这种例子天生就适合用来做讲演，看似毫无关系实则紧密相连。求解思路更是精彩，乍看之下与魔法无异，思考之后又令人拍案叫绝。[打call]3B1B真是太强了。,18天前发布
141390851728,7,铃科♂百合子,保密,6,失去的知识开始攻击我，听到傅里叶和卷积头就开始大了[笑哭],14天前发布
140861203488,50,LYBQinc,男,5,哈哈哈最后的募捐名单里最后有个人叫《You Say Long Names Are Tricky But All I Hear Is Sempai Noticed Me》,18天前发布
140814317072,103,-Conscript-,男,5,正好我学的信号与系统，讲到rect卷积时，我一下子就知道是怎么回事了[doge]还有17天考研，祝我和各位都能考上心仪的大学！,18天前发布
140809732096,50,愿在高处仍有常心,男,5,现实世界不存在bug，一切以结算为准[doge],18天前发布
141168247936,3,Omniknight,男,5,后天考dsp，什么大数据[呲牙],16天前发布
140816951744,2127,深秋睡大觉,女,6,以为是考研休息区，结果是我的专业课信号与系统[笑哭],18天前发布
141082266304,407,愿以风息,男,4,打个比方，想象一个大圆包着一个小圆，小圆会慢慢变大，题目要求求整个图形的面积，当小圆面积小于大圆时，那么总面积一定为大圆的面积，当小圆比大圆大出一点点的时候，总面积就是大圆的面积加上小圆超出的一点点面积，乘个2cosx其实就像是让这个小圆初始就小一些，需要更久才会比大圆要大，这只是便于理解，视频里是变小,16天前发布
140838329696,772,小渊xyz,保密,6,3b1b的视频有一种神奇的魔力，当你看到开头之后，就会迫不及待地说：快告诉我为什么━━━∑(ﾟ□ﾟ*川━hmm，所以这一期是...为什么∫一大堆东西<π？回答：嗯，因为1/3+1/5+1/7+1/9+1/11+1/13+1/15>1,18天前发布
140813092240,1130,富理叶,保密,4,00，3b1b在新视频中说要出一系列专门讲卷积的视频，距今已43min，警钟敲响，望周知！[doge],18天前发布
140827459664,236,人制剑则无敌,男,5,像极了火鸡在感恩节之前总结的规律,18天前发布
140808858304,428,dovisutu,保密,5,“你这规律太假了”[doge]很著名（某种意义上）的用来反对乱找规律的例子。,18天前发布
140855861328,86,戈德里克越野车,保密,5,好，7分半的时候我开窍了。。。原函数是sinx/x，频域是门函数，原函数乘乘乘，频域就是几个门函数卷卷卷，频域为偶函数，原函数求积分相当于去掉周期成分，所以频域把原点卷到比π小的时候，原函数积分就变了…,18天前发布
140826349792,239,Cc虫虫虫,保密,4,补充一下sinx/x的算法，几个思路以供参考吧方法一：欧拉公式：e^(ix)=cosx+isinx，转变成e^ix/x的形式（“复化”，这个应该算通法而不是一种技巧）方法二：数分的一种技巧，求sin(kx)/x的积分，然后对k求导方法三：还是运用复变函数的技巧，留数定理方法四：Fourier变换/L.变换,18天前发布
143373395776,4,十四十十四,保密,4,我脑子里第一个想法就是累加到十五分之一时超过了一,1天前发布
140835563488,133,文豪丶丶,男,6,牛，非常佩服这种从特殊到一般的能力，需要极强的概念抽象和推理能力；学过傅里叶变换和卷积，但是完全不理解，只会做一些简单的、同类型的题目，稍微变化一些 都不会做。,18天前发布
141517242640,15,KhVeMx,男,5,感叹，只学过信号与系统只能称之为知识，而将知识的性质熟悉并跳跃式地连接起来才是人类宝贵的能力。,13天前发布
140850072608,23,两口大橘子,保密,4,👍👍🌹🌹学无止境，我们这些学生也学着上噼里啪啦👍👍琢磨琢磨成人们喜欢看什么样的内容😊😊现在看来我就放心了，噼里啪啦风气很好，全都是爱学习的好up，很有学术氛围，帮助我们父母茁壮成长💪💪🤝🤝成年人将来一定能成为祖国的栋梁🌹🌹[妙啊],18天前发布
140843510208,74,ChaosRobo,保密,6,我超，我初中的时候用FFT算大整数乘法只能背板子，下个视频3b1b居然正好准备讲，至福！[Cat_heart],18天前发布
140846175808,58,_火雨_,保密,5,这种例子天生就适合用来做讲演，看似毫无关系实则紧密相连。求解思路更是精彩，乍看之下与魔法无异，思考之后又令人拍案叫绝。[打call]3B1B真是太强了。,18天前发布
141390851728,7,铃科♂百合子,保密,6,失去的知识开始攻击我，听到傅里叶和卷积头就开始大了[笑哭],14天前发布
140861203488,50,LYBQinc,男,5,哈哈哈最后的募捐名单里最后有个人叫《You Say Long Names Are Tricky But All I Hear Is Sempai Noticed Me》,18天前发布
140814317072,103,-Conscript-,男,5,正好我学的信号与系统，讲到rect卷积时，我一下子就知道是怎么回事了[doge]还有17天考研，祝我和各位都能考上心仪的大学！,18天前发布
140809732096,50,愿在高处仍有常心,男,5,现实世界不存在bug，一切以结算为准[doge],18天前发布
141168247936,3,Omniknight,男,5,后天考dsp，什么大数据[呲牙],16天前发布
140905121712,3,只是普通的秀,保密,6,你谁啊？稍后再做解释……[喜极而泣][喜极而泣],18天前发布
140975875712,3,骚红的坩埚钳,保密,4,为什么我考研放松的时候还能刷到这个视频,17天前发布
143387318400,1,步寻幽悄,男,4,：规律的奇点异变，或许和视角狭隘有关；有一个无法理解解释的事实时，原因可能只是你摄入的信息太少。,1天前发布
140830863104,3,毕达哥斯拉223,保密,4,大二电子专业的学生表示看得很兴奋，正在学signals&systems,18天前发布
140809305904,45,H3PO4⑨,女,6,波温积分，这个很“拉马努金”的积分正好发在《拉马努金杂志》上[doge],18天前发布
140833800880,27,zshwzn,男,6,感觉自己学过傅立叶变换，可是好像有没学过[tv_笑哭]，这么厉害的工具给我用算是浪费了。,18天前发布
140843323216,35,新世纪自动化工程师,保密,5,还记得那个x=1，y=1x=2，y=3x=3，y=5x=4，y=7x=5，y=114514的公式吗[滑稽],18天前发布
