rpid,点赞数量,用户,性别,等级,评论内容,发布时间
140819693872,17,公诚勇毅大气大为,保密,6,哈哈哈哈哈哈[嘉然2.0_啊笑死]，我21年考研也是考的信号与系统，还挺怀念,18天前发布
140820850256,17,44FCC3A5,保密,6,我去年考的也是信号与系统。[2233娘_大笑],18天前发布
140822630976,45,怎么就违规捏,男,5,Sa函数，当时贼讨厌这个东西，每次算傅立叶级数人都麻了……有时候想单纯的考一下变换对和变换性质不好吗，非得来函数图[笑哭],18天前发布
140827839088,14,敌我同源是吧,保密,5,电科的信号题很有自己的风格，相对比较抽象[笑哭],18天前发布
140828739024,1,愿意送我丶雪吗,男,5,去年858抽象的一[笑哭],18天前发布
140828847200,2,我有我的洗发水,男,6,我去年也是信号与系统，可惜只上了个普通一本,18天前发布
140831395424,10,摸摸鱼_,保密,6,以为是考研休息区，结果是我的专业课通信原理,18天前发布
140833022512,0,真理部出来干活了,保密,5,校友？去年858属实把我拿下,18天前发布
140834527104,0,欠一个弱鸡,保密,5,肖四不背了是吧,18天前发布
140837054576,0,Pol丶极夜行,保密,6,我也是学电的，但我考得是电路[脱单doge],18天前发布
141082272400,2,愿以风息,男,4,顶,16天前发布
141200377472,3,吉吉6667,男,5,说得好啊,16天前发布
141444553776,0,雨殇青木,保密,6,[热词系列_知识增加],14天前发布
141590983040,0,holywingangel,保密,5,你通俗易懂，跟你混,13天前发布
142671981024,6,愿以风息,男,4,补充一下，如果要更严格贴切一点的比喻，应该想象大圆外面还有一个更大的圆，那就是求更大的圆的面积减去里面两个圆所占点的并集的面积，这样就能使开始一段时间内面积始终为一个常数，直到大圆里的小圆的面积超出大圆，从此刻开始，面积就会开始慢慢变小,6天前发布
143138591936,0,christianysh,保密,5,通俗易懂，瞬间明白,3天前发布
140853158864,12,他天一,男,6,预知后事如何，请听下回分解,18天前发布
140853196976,3,Youmiel,男,5,捕捉野生渊佬[热词系列_大师球],18天前发布
140915354032,40,mc的热爱者,男,4,看视频前：这个级数是什么鬼？看视频后：概括得准,18天前发布
140997640432,5,wither203,男,6,你这直接省流了，我直接懂了[笑哭],17天前发布
141003631856,3,窄门菌,男,6,课代表上去[打call],17天前发布
140813540736,1,Arvin-Master,男,4,[doge],18天前发布
140815578272,59,Samuelhzx,男,3,其实在油管上3b1b已经发了[doge][吃瓜],18天前发布
140816301296,328,S_尘埃,保密,5,2022年11月19日，3b1b已经在油管上发布了新视频“But what is a convolution?”并且已经收获了50k的like，距今已经18天，望周知[doge],18天前发布
140819781136,16,_hy1_,男,6,警钟撅烂（,18天前发布
140825607024,3,中国科学技术妮可,保密,6,秦王为赵王击缻,18天前发布
