rpid,点赞数量,用户,性别,等级,评论内容,发布时间
107939970272,1,一枝鼠,保密,4,活捉[吃瓜],249天前发布
107943293184,2,半退mc的无心,保密,4,捉,249天前发布
107943994576,2,時流星雨,保密,5,大师球,249天前发布
107945613872,23,吾笑之傲江湖,男,3,活捉,249天前发布
107948041328,0,needle55,保密,5,捉,249天前发布
107948749248,32,公子回家吃饭,保密,4,什么！这是一小时前的？,249天前发布
107949074176,17,卖茨木的小二郎,女,3,什么，两分钟以前,249天前发布
107949280640,0,祁乐姑娘,女,5,捉,249天前发布
107949517408,0,是时壹,保密,4,活捉,249天前发布
107950844256,0,赵桓之,男,5,捉,249天前发布
111127661968,2,djxwwssswda,保密,4,wc，活捉一只杰粉！[脱单doge],223天前发布
111143585168,0,小酒木子,保密,4,我天，随时在线的,223天前发布
111154561136,0,馍馍默默无闻,女,4,四小时前[doge],223天前发布
111158848416,18,像天使ma,保密,3,啊哈！,223天前发布
111228448144,0,RavenのS,男,5,不能后台播放了[藏狐][藏狐][藏狐],222天前发布
111264857072,4,钢管舞者,保密,5,唉,222天前发布
111297097264,0,冬素Z,保密,3,我还以为就我一个不能了呢[捂脸],222天前发布
111433673824,13,烬羽羽羽羽,女,5,可以不删吗,221天前发布
111714497424,1,我爱岑缨,男,5,028怎么了？好奇,219天前发布
111953747344,0,想养柯基2333,保密,4,是做操的音乐啦,217天前发布
104372583376,36,碌碌alway,男,4,哈哈，怎么会有新歌,280天前发布
104378199072,417,client喵喵喵,保密,5,新歌？很蓝的啦[doge],280天前发布
104382292448,36,鸢尾花的徽章の微亮,男,6,新歌哪里来的新歌[嗑瓜子],280天前发布
104385355328,404,一只monster,保密,6,新专辑《如果有周董什么新歌》[doge],280天前发布
104398803360,506,奶盖不芝士,女,5,新专辑《新歌哦哦哦我有在做啦》,280天前发布
104409575616,64,蜀国丞相诸葛亮,男,6,家祭无忘告乃翁了,280天前发布
104425872976,7,majsjksk,保密,5,我超，活的,280天前发布
104464934224,4,qyunkiii,女,5,有什么新歌,279天前发布
104478828704,24,该用户已成神仙了,保密,5,新歌《我都在玩》[doge],279天前发布
104491813328,27,人未老先行事,保密,5,新专辑《今年就发》,279天前发布
4990198537,6,￡安魂曲々,男,6,那些单曲有吗？倒带，断了的弦，搁浅之类的,502天前发布
4990385086,2,jay1313133,保密,6,055，049.  倒带是蔡依林的,501天前发布
4990772849,7,天真可爱軒軒,保密,5,我其实也在想倒带 周董确实是翻唱的 而且还唱错词了哈哈哈[doge],501天前发布
4990868447,0,Eraver,保密,5,后面两个不是单曲吧,501天前发布
4991015728,16,冰播君,男,6,mojito,501天前发布
4992048648,4,希望可以阳光,保密,5,烟花易冷,501天前发布
4992060182,8,希望可以阳光,保密,5,兰亭集序,501天前发布
4992104219,1,粤知二一,保密,6,兰亭序111，烟花易冷119,501天前发布
4992364830,3,老温很忙,保密,4,米兰小铁匠有吗，没找到,501天前发布
4992429800,362,爱的飞行日志,保密,6,缺少好几处，第一是给玲珑香水做的广告（一共两段MV）是纯音乐，后续写成了《说好不哭》。第二是《漂移》的变调或Remix，是给索尼手机做的广告，第三就是在好声音上翻唱的《默》，第四好像还有歌神的《她来听我的演唱会》，如有错误或不足请多指教,501天前发布
112778909808,52,金灶沐viego,保密,4,天啊，51分钟前,210天前发布
112779007680,8,金灶沐viego,保密,4,我在这听了40分钟歌,210天前发布
112781229696,2,不上清华不更名,保密,4,天啊，我从你发信息的时候开始听的[辣眼睛][辣眼睛],210天前发布
112789319456,14,吃面崩掉牙,保密,5,这是我可以看的吗？！[星星眼],210天前发布
112804627440,2,母鸡盗鸭,男,5,5小时前，已经凉了,210天前发布
112820349472,0,那你很牛o,保密,5,我一直在！,210天前发布
112825468496,2,山桥枕浅沙,女,6,你发的这个一直能听。因为我没更新[妙啊],210天前发布
112829700048,0,苏德蓝樱_owo,保密,4,天啊，8hr,210天前发布
112841896256,0,Eden7777,保密,3,天啊~！福音！,210天前发布
112854595296,0,给你一杯肥宅水,女,5,辛苦了[给心心][给心心][给心心],209天前发布
4970557180,800,丨二喜,男,5,体验过播放本地歌曲，第二天被删的快乐吗，垃圾qq音乐[辣眼睛],504天前发布
4970721357,27,叛逆的若安,保密,5,租用权跟购买权搞清楚了吗？,504天前发布
4985225173,23,QWERER1234,保密,4,去咪咕吧,502天前发布
4986656781,160,丨二喜,男,5,不是这个意思，我从别的地方找的资源放在手机里，不是从qq音乐上下载的。只是用qq音乐播放本地文件，第二天全没了。。。。。,502天前发布
4986671336,59,丨二喜,男,5,我又没说本地歌曲是从qq音乐上下载的。从别的地方下载的歌曲跟有声书，只不过用qq音乐当播放器，第二天歌曲都没了，有声书还在。。。。。,502天前发布
4987189265,5,晚安怪獸,男,5,哈哈哈哈真实,502天前发布
4990515618,55,靈塵烟雨,保密,4,还好！十年前就把他的歌全部下载了。[歪嘴],501天前发布
4998288915,166,梦想很好要挣钱,保密,4,资本会无限突破底线，靠不住，正版其实只是能让他它们赚钱，不然正不正版它们也不在乎,500天前发布
5015860408,9,落寒不是罗汉,保密,6,下载视频音源网易云云盘保存就可以了,498天前发布
5026807632,23,六角亭李院长,男,6,版权在音乐人手里，公司从音乐人手里购买收费给用户听，你觉得没有必要吗？真正用心做好音乐的人靠谁养活？听盗版的人？,497天前发布
5455937859,3,吃炫迈根本停不下来,保密,5,直接缓存,441天前发布
99227243264,43,a2191708,保密,5,楼主号没了？,323天前发布
99667495392,37,asx473,保密,5,自己注销呗,319天前发布
110950750816,25,残葉ざんは,保密,5,已经限制后台了[Akie秋绘_哭哭],225天前发布
110969652320,6,牛立勇,男,5,昨天限制的，忒惨了,224天前发布
111008528416,3,残葉ざんは,保密,5,我开的这么巧吗[Akie秋绘_哭哭],224天前发布
113126355056,16,簪花落梅,保密,4,大预言家，要不是注销了账号指定没你好果汁吃[doge],208天前发布
113471270032,4,星-x-月,保密,4,名字是粉色的，还有大会员的时候就注销了？,205天前发布
119224638528,0,誓言触动了谁,男,5,这是自己签名，头像自己设置的吧,159天前发布
119227920592,1,星-x-月,保密,4,现在没了，之前还是大会员的,159天前发布
4970135568,36,核桃果干,保密,5,也不知道啥时候就没了,504天前发布
4970209743,8,三年终于六级,男,6,坏消息上热门了,504天前发布
4970759972,31,蟑螂恶霸real,男,5,害，热门来的[doge],504天前发布
4974583846,5,寒小冰丶,保密,6,明明两个含义,504天前发布
4983680081,0,希望下辈子没有社畜,保密,5,[笑哭],502天前发布
4992230769,12,软肋-逆鳞,男,5,缓存啊！游戏删了删了！[OK],501天前发布
4995788380,0,kdmi,男,6,手机怎么缓存啊？,501天前发布
4996767758,14,软肋-逆鳞,男,5,5级号捐了吧[热词系列_河南加油][热词系列_豫你一起],501天前发布
5022259266,1,今天我出心所了吗,保密,6,右上角三个点,498天前发布
5023076442,0,小王喜欢猫咪,男,5,经验卡哪来的[doge],497天前发布
4963402768,374,宇与鱼雨遇余,男,6,一个，up没投自制[点赞],505天前发布
4966958891,0,南烟っ,保密,5,酷我音乐不是有破解版吗？,505天前发布
4967529718,11,T没差,保密,5,咪咕：？？,505天前发布
4967540673,1,南烟っ,保密,5,酷我音乐,505天前发布
4968488358,7,AleeYon,男,5,Apple music 每个月10蚊[脱单doge],504天前发布
4968539562,66,myw999,男,5,咪咕yyds,504天前发布
4968755310,9,老子想不出来咯,保密,5,不不不，我是白嫖的，两个币都不用。,504天前发布
4969476698,20,Magician开源,男,4,网易云 买到版权了？,504天前发布
4969673349,2,我のshadow,男,5,球球音乐一个月6块钱[微笑],504天前发布
4969735544,6,眨眼间泛黄,保密,5,Apple Music 一个月十块钱，版权相对较全，最主要的，没有广告。,504天前发布
4964261297,4,一只喜欢汪苏泷的菜狗,男,4,棒棒棒！！！,505天前发布
4965396502,3,Howard_浩浩,保密,4,怎么弄,505天前发布
4966020361,5,一个汪庄里汉子,保密,5,为啥其他的不能后台播放,505天前发布
4966579848,1,一个汪庄里汉子,保密,5,？？？,505天前发布
4966701132,70,达瓦里氏要保持清醒,男,5,点击视频右上角三个点，下面一排往左滑，有后台播放[doge],505天前发布
4966902911,15,一个汪庄里汉子,保密,5,我知道我说的那个周杰伦的系列咋不能后台的问题,505天前发布
4967508637,0,达瓦里氏要保持清醒,男,5,那就不知道了,505天前发布
4967535758,11,得勒气玛发,保密,6,不能随机播放,505天前发布
4968286340,7,黑毛水怪,保密,5,哈哈哈哈 我一点开就看了看能不能后台,504天前发布
4968482316,18,AleeYon,男,5,apple music 基本都全噢[脱单doge],504天前发布
4969348349,170,vv啧啧啧,男,5,那个三千多万播放量,504天前发布
4969759064,5,凭栏处丿,男,6,默默的收藏[藏狐],504天前发布
4970069508,22,晚安使者玛卡巴卡,男,5,完了热门看见的[登门喜鹊_emm],504天前发布
4970262689,292,馋月呀,保密,6,说个坏消息，我是热门点进来的……,504天前发布
4970281288,28,大王别玩女警辣玩我叭,保密,6,上榜一了兄弟[藏狐]低调不了了,504天前发布
4970396361,7,陈陈陈皮糖_,男,5,啥意思没懂[笑哭],504天前发布
4970498194,4,周傑倫丶,男,6,上热门了。。。。 完了,504天前发布
4970660523,0,185761674649,保密,5,？mv不是免费吗,504天前发布
4970657556,12,185761674649,保密,5,QQ音乐没版权的歌也一样可以看mv啊，不至于吧,504天前发布
